Id	Text	Date	Source	RetweetCount
1002242569856802818	All-India Bank Strike Day 2: More Employees Take Part as 80,000 Branches Stay Shut https://t.co/W9uhv5Mcvd	2018-05-31 17:37:04	"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>"	0
1002240133825904640	RT @IndianExpress: Bank strike: ATMs run dry, cheques remain uncleared; services likely to resume tomorrow https://t.co/XR3S4C8clw	2018-05-31 17:27:23	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	11
1002239633609064448	RT @INCIndia: Farmers, soldiers and now bank employees. Modi Govt has managed to upset almost every segment of society. #BasEkAurSaal  http…	2018-05-31 17:25:24	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	530
1002239482710646784	# bank strike	2018-05-31 17:24:48	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0
1002236740118102017	RT @INCIndia: BJP's mismanagement to cause yet another banking crisis. ATMs to run dry AGAIN as Govt fails to control #bankstrike.  https:/…	2018-05-31 17:13:54	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	391
1002226528854261760	RT @Aagan86: Nearly 3,500 tourists from #Bengal stranded in #Kashmir due to landslide. They complain of apathy from local administration. C…	2018-05-31 16:33:19	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	5
1002221663784718336	Commoners face problems due to two-day nationwide bank strike - Maharashtra News: https://t.co/LwvBwRV2Te via @YouTube	2018-05-31 16:13:59	"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>"	0
1002219980384034817	RT @INCIndia: Farmers, soldiers and now bank employees. Modi Govt has managed to upset almost every segment of society. #BasEkAurSaal  http…	2018-05-31 16:07:18	"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>"	530
1002219625994579969	RT @INCIndia: BJP's mismanagement to cause yet another banking crisis. ATMs to run dry AGAIN as Govt fails to control #bankstrike.  https:/…	2018-05-31 16:05:53	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	391
1002218833191546880	ARE BANK STRIKE HAS SAME IMPACT OF EARLIER DAYS? https://t.co/TZvR4VH7NJ	2018-05-31 16:02:44	"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>"	0
1002216569483735043	RT @ANI: Maharashtra: Banking services remained affected, some ATMs run out of cash on the second day, as United Forum of Banking Unions (U…	2018-05-31 15:53:45	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	16
1002215168389058561	RT @scroll_in: Two-day bank strike ends, unions claim it is a ‘total success’ https://t.co/rwRivv5h55 https://t.co/l25Qh5ckCV	2018-05-31 15:48:11	"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>"	1
1002214414198730752	RT @dhirajkumarsi16: @PMOIndia your bank employees are on strike, your Indian post employees are on strike.. but you entire machinery is sl…	2018-05-31 15:45:11	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	1
1002212619195965440	Two-day bank strike ends, unions claim it is a ‘total success’ https://t.co/rwRivv5h55 https://t.co/l25Qh5ckCV	2018-05-31 15:38:03	"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>"	1
